date,ticker,sector,base_weight,stock_sentiment_z,sector_neutral_weight
2023-07-03,DUK,Utilities,3.000181336609217e-18,1.7508337863682566,0.0
2023-07-03,EA,Comm,0.1289041887725239,-0.43683938511200365,0.13692635752863258
2023-07-03,GE,Industrials,0.0,-0.48759522086164536,0.0
2023-07-03,GILD,Healthcare,0.0,-0.4816328213167027,0.0
2023-07-03,GS,Financials,0.0,0.49827153255969814,0.0
2023-07-03,INTC,Tech,0.0,-0.44993133597686036,0.0
2023-07-03,KO,Consumer,0.2,-0.938510313218829,0.26889559087882475
2023-07-03,MMM,Industrials,2.0319428168588233e-20,0.08249541088920768,1.448452796636246e-20
2023-07-03,MRK,Healthcare,0.1838311294226137,-0.34223122549830853,0.18685805477345463
2023-07-03,MS,Financials,1.266893447966807e-18,0.7769228852170169,2.4472247325339717e-19
2023-07-03,NEE,Utilities,1.4212947853723589e-18,1.3361907559343476,0.0
2023-07-03,NEM,Materials,8.483872637133557e-18,-0.25854331875040953,6.7907814450240546e-18
2023-07-03,NKE,Consumer,0.0,0.7265080226895819,0.0
2023-07-03,NUE,Materials,0.0,-0.5751989422207661,0.0
2023-07-03,NVDA,Tech,0.0,1.3400781245367113,-0.0
2023-07-03,O,RealEstate,0.1292949993171208,-0.39992474931996447,0.1292949993171208
2023-07-03,OXY,Energy,0.0053145157232981,0.18082884926321205,0.00422311971249213
2023-07-03,PLD,RealEstate,0.0,-0.42268804195970067,0.0
2023-07-03,PSA,RealEstate,9.977783117452089e-19,-0.33597603335682613,9.521996891206936e-19
2023-07-03,QCOM,Tech,1.4077842896815674e-18,0.8206413124609346,5.681790044485458e-19
2023-07-03,SBUX,Consumer,0.0,-0.3086428805070495,0.0
2023-07-03,SHW,Materials,2.0320055403427096e-18,-0.26461987343284166,1.6343397172920551e-18
2023-07-03,SLB,Energy,3.59564549852899e-18,0.9300925205166554,2.438347271779114e-19
2023-07-03,SO,Utilities,2.8494094719979512e-18,1.1063435723119073,0.0
2023-07-03,T,Comm,0.0452617099438949,-0.24896851855477706,0.04179210536760419
2023-07-03,TMUS,Comm,0.0321774633098558,-0.16434451070753767,0.02769778916974269
2023-07-03,TTWO,Comm,0.0014995209018293,-0.2869073748797611,0.001426630862124457
2023-07-03,UPS,Industrials,0.0,1.0650465963625209,-0.0
2023-07-03,USB,Financials,8.233315560760999e-19,-0.2601032105664582,8.983790658471238e-19
2023-07-03,V,Financials,2.1946358662155353e-18,-0.5155337603674254,2.880095124172028e-18
2023-07-03,WFC,Financials,5.313411178005869e-18,-0.21170967316832173,5.575075384991762e-18
2023-07-03,WMT,Consumer,0.1442980520303212,0.24657594217125248,0.07540246115149644
2023-07-03,XOM,Energy,0.0078007526858732,-0.8218379454626402,0.013786096045592432
2023-08-01,ABBV,Healthcare,0.0904323810300926,-0.4029817912027408,0.14997221773879882
2023-08-01,ABT,Healthcare,2.5191593804682818e-18,1.0882997645270733,0.0
2023-08-01,ADBE,Tech,0.0,2.020837149524917,-0.0
2023-08-01,AEP,Utilities,0.0,-0.1798150125711547,0.0
2023-08-01,AMD,Tech,1.1266372151822116e-18,1.826654395391044,0.0
2023-08-01,AMGN,Healthcare,0.0172040809739242,-0.2839401705556181,0.026110252895900746
2023-08-01,AMT,RealEstate,1.514967804375525e-18,-1.565052584408085,2.7556253589482274e-18
2023-08-01,BA,Industrials,0.0,0.0,0.0
2023-08-01,CAT,Industrials,0.0,0.2404886045150638,0.0
2023-08-01,CCI,RealEstate,2.6898233896444925e-19,-0.14231928752459583,2.178872271318881e-19
